,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
51,2021-07-18 15:54:02,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,47
52,2021-07-18 15:54:05,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,47
53,2021-07-18 15:54:09,Flag,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:54:08,,BLUE,Driver,,7,47
54,2021-07-18 15:54:23,CarEvent,CAR 7 (RAI) SPUN AND CONTINUED AT TURN 17,,,,,7,48
55,2021-07-18 15:54:26,Flag,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:54:26,,BLUE,Driver,,7,48
56,2021-07-18 15:55:57,Other,TURN 17 INCIDENT INVOLVING CARS 7 (RAI) AND 11 (PER) NOTED,,,,,,49
57,2021-07-18 15:56:21,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:56:20,,BLUE,Driver,,6,49
58,2021-07-18 15:56:37,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:56:37,,BLUE,Driver,,6,49
59,2021-07-18 15:57:03,Other,TURN 17 INCIDENT INVOLVING CARS 7 (RAI) AND 11 (PER) WILL BE INVESTIGATED AFTER THE RACE,,,,,,49
60,2021-07-18 15:57:29,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:57:29,,BLUE,Driver,,11,50
61,2021-07-18 15:58:50,Other,CAR 16 (LEC) TIME 1:32.956 DELETED - TRACK LIMITS AT TURN 9,,,,,,51
62,2021-07-18 15:59:12,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:59:12,,BLUE,Driver,,99,51
63,2021-07-18 15:59:51,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:59:51,,BLUE,Driver,,99,51
64,2021-07-18 16:00:54,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 17:00:53,,BLUE,Driver,,63,52
65,2021-07-18 16:01:48,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,52
